Gene_Id	CP08174_T1R_T-ENSEMBL	CP09800_T1R_T-ENSEMBL	CP07805_T1R_T-ENSEMBL	CP07552_T1R_T-ENSEMBL	CP06649_T1R_T-ENSEMBL	CP10449_T1R_T-ENSEMBL	CP07152_T1R_T-ENSEMBL
PCK1	3.33	1.19	5.06	0.45	0.8	2.62	3.85
PCK2	5.66	5.71	4.4	2.55	2.98	4.71	3.25
PCLAF	3.5	3.41	2.28	4.86	4.49	2.15	3.46
PCLO	6.02	8.36	2.96	5.92	4.9	4.22	2.38
PCM1	7.48	9.57	6.02	9.4	8.78	6.57	5.82
PCMT1	5.13	5.05	2.86	4.54	4.93	4.87	3.23
PCMTD1	5.58	6.06	4.8	5.92	6.12	6.55	4.01
PCMTD2	4.87	6.35	3.78	4.79	5.14	4.59	4.38
PCNA	6.06	7.91	4.78	6.59	7.28	5.21	4.73
PCNP	5.9	6.57	6.09	7.56	7.8	7.31	5.78
PCNT	6.24	6.81	5.04	6.66	7.56	4.54	4.65
PCNX1	7.11	5.38	5.09	5.4	5.14	5.2	4.93
PCNX2	5.52	6.74	3.21	4.55	3.77	4.61	3.47
PCNX3	6.03	6.01	3.1	3.08	2.96	5.58	3.17
PCNX4	5.6	6.54	5.02	6.13	6.1	5.23	4.43
PCOLCE	8.94	5.74	3.99	3.61	2.49	4.36	4.47
PCOLCE2	3.42	1.43	1.84	1.73	1.16	3.78	1.15
PCP2	2.84	2.8	0.32	0.1	0.11	1.24	0.04
PCP4	4.73	3.65	0.12	0.56	1.26	0.29	0.07
PCP4L1	2.71	0.16	0.18	0.04	0.65	1.02	0.08
PCSK1	4.26	8.53	3.06	7.88	0.46	0.65	3.03
PCSK1N	4.34	3.71	0.2	0.21	1.88	2.66	0
PCSK2	2.1	7.07	0.03	4.33	0.07	0.18	0.03
PCSK4	5.71	3.48	0.45	0.1	0.83	2.45	0.29
PCSK5	6.41	4.05	1.93	1.14	1.94	3.15	2.98
PCSK6	6.8	5.35	4.39	0.76	2.18	5.18	3.51
PCSK7	5.1	4.18	2.97	3.54	2.75	4.73	3.26
PCSK9	3.91	0.63	1.12	0.26	0.31	1.66	1.71
PCTP	2.44	0.75	2.45	1.11	2.68	5.01	2.05
PCYOX1	4.92	5.15	4.98	4.33	5.8	4.98	3.99
PCYOX1L	4	4.61	0.99	2.34	2.51	2.58	1.18
PCYT1A	5.98	5.27	4.92	4.36	4.95	6.94	4.83
PCYT1B	1.14	1.94	0.01	2.06	0.2	0.33	0.04
PCYT2	5.27	4.77	3.27	2.72	3.98	4.35	2.84
PDAP1	6.86	8.59	5.19	5.79	6.2	7.48	5.06
PDC	3.43	2.36	0.57	1.26	1.68	0.24	0.19
PDCD1	4.1	0.96	0.37	0.67	1.36	2.81	0.55
PDCD10	5.12	5.59	5.31	7.61	7.66	6.9	5.8
PDCD11	5.5	4.72	2.76	3.6	3.45	4.42	3.82
PDCD1LG2	2.34	0.69	0.82	1.32	0.69	1.44	1.99
PDCD2	4.67	4.36	3.4	3.85	4.77	5.1	3.09
PDCD2L	5.23	5.07	2.98	3.01	3.18	3.21	2.99
PDCD4	6.83	5.55	5.33	6.09	6.61	5.68	5.85
PDCD5	5.45	5.22	5.18	6.28	6.44	6.49	5.88
PDCD6	6.8	7	5.35	5.71	7.05	6.04	6.01
PDCD6-AHRR	0	0	0	0.21	0.03	0.77	0.03
PDCD6IP	6.77	6.84	6.44	6.27	7.88	8.38	5.63
PDCD7	4.01	4.12	1.76	3.04	2.67	3.23	2.34
PDCL	3.67	4.89	2.94	3.56	3.95	4.21	1.95
PDCL2	3.21	0.14	0	0.07	0.18	0.44	0
PDCL3	3.96	3.41	4.08	4.85	6.13	4.64	4.05
PDE10A	6.42	4.1	1.58	2.03	2.1	2.95	2.01
PDE11A	0.97	0.71	0.73	2.16	0.53	0.87	0.94
PDE12	3.91	3.66	2.18	2.23	3.49	2.77	2.25
PDE1A	2.42	3.21	1.56	1.7	1.23	1.5	1.74
PDE1B	3.45	1.5	0.89	0.81	0.81	1.62	1.2
PDE1C	3.45	1.62	0.11	1.29	1.96	0.56	0.31
PDE2A	6.34	3.21	2.9	2.15	1.12	2.7	2.18
PDE3A	3.69	2.8	1.75	3.75	1.52	2.24	2.94
PDE3B	3.32	3.31	1.86	1.64	3.63	1.46	2.3
PDE4A	4.45	2.72	1.86	1.64	1.16	3.76	2.46
PDE4B	3.88	4.33	1.67	2.55	2.58	2.79	1.81
PDE4C	4.03	3.69	2.15	1.17	0.24	1.63	0.12
PDE4D	6.01	4.78	4.76	4.36	6.43	2.75	4.12
PDE4DIP	7.4	6.88	5.83	5.8	6.57	7.29	5.42
PDE5A	4.77	6.41	2.38	4.73	3.28	3.93	2.28
PDE6A	3.13	2.01	0.52	1.01	0.76	0.32	0.16
PDE6B	4.61	6.81	1.76	2.31	4.28	2.06	1.08
PDE6C	1.87	1.23	0.03	0.2	0.44	0.16	0.04
PDE6D	3.93	2.41	2.1	2.78	3	3.76	1.81
PDE6G	3.18	2.1	0.89	0.57	1.16	1.78	0.87
PDE6H	2.92	1.24	0	0	0.08	0.39	0
PDE7A	4.05	5.13	2.92	4.28	3.91	3.44	2.38
PDE7B	4.43	2.18	1.4	0.94	1.25	1.12	0.48
PDE8A	6.24	5.78	4.61	5.17	4.28	3.56	3.72
PDE8B	3.72	4.31	1.28	4.8	6.99	0.87	1.41
PDE9A	4.9	4.11	3.52	2.59	4.01	1.61	1.21
PDF	2.16	0.86	0.19	0.18	0.28	1.28	0.08
PDGFA	5.79	4.52	2.49	1.28	3.55	4.8	2.48
PDGFB	3.64	2.61	2.23	0.93	0.75	4.31	1.35
PDGFC	4.01	2.73	5.46	3.29	2.1	5.21	3.14
PDGFD	3.15	2.45	0.7	3.32	0.8	1.5	1.7
PDGFRA	4.99	2.33	2.72	3.41	1.2	2.06	4.42
PDGFRB	6.22	5.4	4.11	4.77	2.8	5.06	4.56
PDGFRL	3.34	3.42	0.31	1.66	1.1	0.42	1.21
PDHA1	6.33	6.18	6.39	7.21	8.95	6.18	6.83
PDHA2	4.44	1.57	0.18	0.04	1.45	0.46	0.15
PDHB	5.53	4.91	4.78	4.97	5.62	4.82	4.35
PDHX	5.14	5.15	4.68	6.19	5.68	3.77	4.01
PDIA2	3.93	2.83	0.38	0.25	0.72	0.96	0.68
PDIA3	6.54	7.62	7.76	8.24	9.06	7.63	8.09
PDIA4	5.45	6.66	5.58	5.33	5.97	6.54	5.39
PDIA5	4.76	4.21	4.94	4.88	4.83	5.59	4.06
PDIA6	6.13	6.15	5.53	6.19	5.52	6.72	5.93
PDIK1L	3.09	3.24	1.53	1.58	3.05	2.42	1.23
PDILT	2.1	1.25	0.24	0.11	0.48	0.25	0.01
PDK1	5.74	6.28	4.7	6.46	4.83	5.27	5.59
PDK2	5.1	5.9	5.13	4.77	6.35	5.59	5.01
PDK3	3.42	3.7	1.97	3.43	4.61	3.6	3.83
PDK4	6.29	2.38	4.69	4.9	1.71	3.67	2.58
PDLIM1	4.47	5.85	5.08	5.55	4.67	6.42	5.2
PDLIM2	5.31	3.95	2.98	1.37	1.62	4.45	2.26
PDLIM3	4.86	6.14	4.9	6.64	6.66	6.65	3.51
PDLIM4	5.29	2.81	1.08	0.5	1.17	7.61	0.96
PDLIM5	5.94	5.34	5.65	5.62	7.15	6.28	5
PDLIM7	6.4	4.76	3.35	2.72	1.65	7.93	2.96
PDP1	6.73	5.28	4.39	3.77	4.92	7.38	3.68
PDP2	3.87	2.88	1.56	1.66	2.89	2.57	0.97
PDPK1	5.93	5.5	3.95	5.03	5.28	6.18	3.56
PDPN	2.99	1.86	1.37	2.25	0.59	1.77	3.28
PDPR	6.01	5.61	3.13	3.96	3.38	5.44	3.97
PDRG1	2.05	2.02	0.7	1.1	1.59	2.17	1.12
PDS5A	5.73	5.71	4.68	5.59	5.9	5.44	4.02
PDS5B	5.3	7.35	3.85	6.02	7.27	5.49	4.54
PDSS1	3.65	3.97	2.9	4.68	3.32	3.7	3.2
PDSS2	4.66	3.63	2.47	4.79	3.27	3.01	1.53
PDX1	2.25	1.92	0.16	0.21	0.64	0.46	0.62
PDXDC1	6.13	6.39	5.42	6.84	7.19	6.84	5.01
PDXK	6.55	5.21	6.98	4.81	6.15	6.45	5.44
PDXP	3.8	4.39	0.73	1.42	1.03	0	0.61
PDYN	2.77	0.82	0.01	0	0.4	0	0.03
PDZD11	4.48	3.94	4.7	3.88	5.54	4.53	3.67
PDZD2	4.42	3.45	2.09	1.46	1.42	2.94	0.58
PDZD3	3.72	2.53	0.86	0.31	0.66	1.72	0.14
PDZD4	3.53	4.14	0.66	2.84	3.67	1.14	0.14
PDZD7	4.61	3.65	0.34	0.21	0.71	3.56	1.05
PDZD8	5.58	4.64	3.93	3.87	6.4	4.73	4.92
PDZD9	2.45	1.29	0.65	1.03	1.05	0.14	0.25
PDZK1	5.62	5.05	4.73	3.72	4.29	4.64	3.55
PDZK1IP1	2.74	0.67	3.73	0	4.02	6.94	1.01
PDZRN3	3.92	5.33	1.05	4.41	2.43	1.76	2.28
PDZRN4	3.41	1.33	0.19	0.12	4.4	0.6	0.44
PEA15	6.87	6.62	6.1	6.48	7.1	6.96	6.1
PEAK1	3.47	4.46	2.36	4.44	2.13	3.58	2.75
PEAK3	3.51	0.53	0.04	0.07	0.07	0.62	0
PEAR1	3.84	1.96	1.45	0.93	0.79	3.63	1.1
PEBP1	8.8	7.39	7.59	6.96	8.05	6.49	6.77
PEBP4	0.83	0	0	0.21	0.55	0.16	0.03
PECR	4.27	4.2	5.62	4.1	3.63	4.56	3.87
PEDS1	5.07	5.96	4.52	4.59	3.35	5.34	2.91
PEDS1-UBE2V1	3.59	4.72	2.91	3.82	3.3	3.54	2.15
PEF1	5.35	4.55	3.38	3.85	4.08	5.08	3.47
PEG10	7.42	6.81	4.64	5.61	0.64	5.59	0.07
PEG3	8.78	1.12	1.04	0.65	1.12	0.87	0.58
PELI1	2.04	2.96	2.83	3.91	3.1	3.58	3.08
PELI2	3.31	6.43	2.32	4.31	3.71	2.93	3.38
PELI3	4.44	4.73	0.49	1.18	1.87	2.45	0.9
PELO	4.06	3.01	2.14	2.5	2.77	3.42	2.34
PELP1	6	4.98	2.23	1.88	2.64	4.23	2.06
PEMT	4.23	4.59	3.05	2.62	1.88	4.23	2.03
PENK	3.63	1.29	0.23	0.6	1.59	1.21	0.06
PEPD	5.91	5.36	4.35	4.36	5.24	4	4.21
PER1	7.25	4.37	2.77	1.7	2.58	5.18	1.49
PER2	4.01	5.01	3.51	4.54	4.12	5.5	2.6
PER3	4.92	5.69	3.82	4.27	4.05	3.86	2.33
PERCC1	0.33	0.29	0	0.04	0.01	0	0
PERM1	3.05	0.8	0.2	0.03	0.2	0.62	0.12
PERP	1.7	4.25	4.36	3.49	3.65	5.59	2.61
PES1	5.41	5.19	4.64	5.33	6.16	5.59	4.11
PET100	5.66	6.2	5.98	6.79	7.37	4.22	5.26
PET117	3.04	3.29	1.21	2.26	2.12	0	1.58
PEX1	5.33	6.17	4.47	5.44	6.19	3.67	4.26
PEX10	5.18	3.45	1.75	1.18	2.41	3.64	1.54
PEX11A	2.94	2.56	2.4	1.16	3.64	1.95	1.91
PEX11B	2.78	2.72	1.9	1.36	2.14	2.47	1.14
PEX11G	3.95	1.46	0.19	0.08	0.36	0.91	0.07
PEX12	3.19	2.77	1.53	2.11	2.65	1.99	1.14
PEX13	4.71	3.91	2.79	2.82	3.8	5.13	2.44
PEX14	5.54	4.14	3.93	3.12	2.86	4.07	3.11
PEX16	5.4	4.33	3.63	3.01	2.61	3.86	2.73
PEX19	6.37	5.81	5.69	5.27	6	5.34	4.72
PEX2	4.41	5.43	4.09	4.91	4.91	4.75	3.19
PEX26	4.18	4.54	3.34	3.46	4.17	5.07	3.37
PEX3	5.16	3.52	3.16	4.72	5.84	3.16	3.68
PEX5	5.58	4.3	4.55	4.29	3.2	5.23	4.63
PEX5L	2.8	6.93	0.86	7.2	0.53	0.46	0.01
PEX6	4.94	3.73	2.89	2.8	4.31	3.21	3.41
PEX7	3.9	3.11	3.28	4.67	5.19	2.13	2.46
PF4	2.95	0.65	0.38	0.64	0.07	0	0.49
PF4V1	2.69	0.54	0.25	0.28	0.12	1.32	0
PFAS	4.7	5.16	2.92	2.7	2.24	3.27	1.8
PFDN1	4.78	5.54	4.86	5.28	6.59	5.85	3.39
PFDN2	6.1	6.19	5.8	4.6	5.17	7.22	4.01
PFDN4	2.65	4.11	4.71	5.91	5.92	5.02	4.55
PFDN5	7.59	8.26	8.08	8.04	8.32	8.68	7.78
PFDN6	4.44	3.23	2.01	2.8	3.7	4.31	3.04
PFKFB1	2.08	0.82	2.06	0.38	0.98	1.17	1.1
PFKFB2	4.71	4.65	3.22	4.04	4.64	2.64	2.38
PFKFB3	5.83	4.8	4.67	4.31	3	6.96	5.55
PFKFB4	4.91	4.2	2.85	2.39	2.45	4.59	3.01
PFKL	5.64	5.98	5.32	4.83	5.89	5.4	4.52
PFKM	6.86	6.2	4.46	5.42	5.19	4.69	4.28
PFKP	6.16	7.59	5.39	5.79	5.54	7.99	4.59
PFN1	8.66	8.91	7.65	7.51	7.73	8.89	6.88
PFN2	5.59	5.71	2.25	5.83	5.06	7.17	2.49
PFN3	5.02	0.26	0	0	0.19	1.75	0
PFN4	1.87	1.75	0.97	1.04	1.43	1.31	0.23
PGA3	5.93	3.63	2.92	1.08	2.69	1.16	0.44
PGA4	3.8	2.2	2.7	0.25	1.25	0.9	0.53
PGA5	4.19	2.55	0.71	0.56	1.35	0.1	0.43
PGAM1	7.48	6.01	5.92	5.04	4.88	6.81	5.36
PGAM2	5.94	4.28	0.9	1.93	2.07	4.68	1.77
PGAM4	3.65	1.18	1.72	1.05	1.32	1.16	0.9
PGAM5	4.31	5.5	2.42	2.65	2.87	5.66	2.79
PGAP1	2.98	4.11	1.74	3.64	2.68	2.46	2.49
PGAP2	4.63	5.29	3.24	3.81	3.32	4.33	2.91
PGAP3	4.04	4.04	2.58	1.46	2.37	4.68	1.82
PGAP4	4.1	0.59	0.95	2.18	0.77	3.24	2.07
PGAP6	6.7	7.58	4.83	4.4	4.37	6.68	3.62
PGBD1	3.93	3.28	1.02	3.58	5.01	1.51	1.43
PGBD2	3.75	1.1	1.77	2.17	2.02	2.45	1.95
PGBD4	1.94	1.65	0.46	0.93	0.62	0.62	0.24
PGBD5	6.04	5.97	0.74	2.2	1.14	1.95	0.52
PGC	3.76	1.72	0.04	0.07	1.52	0.31	4.6
PGD	6.5	5.33	4.57	5.66	6.46	5.79	5.8
PGF	3.49	2.64	0.84	0.97	0.44	1.44	0.96
PGGHG	4.64	7.5	3.15	1.45	0.97	3.87	1.76
PGGT1B	4.6	4.78	4.02	4.47	5.55	3.93	3.49
PGK1	6.8	5.74	7.35	8.21	8.66	7.85	8.65
PGK2	3.66	1.36	0.1	0.07	0.92	0.25	0.23
PGLS	6.19	4.87	4.64	3.2	4.83	6.76	3.87
PGLYRP1	3.92	0.99	0.16	0.06	0.21	1.69	0.39
PGLYRP2	3.73	0.83	2.65	0	0.4	1.4	1.59
PGLYRP3	3.14	1.37	0.04	0	0.25	0.24	0.15
PGLYRP4	3.23	0.73	0.21	0	0.15	0.86	0
PGM1	5.98	4.67	5.94	4.65	4.08	6.16	4.43
PGM2	5.06	5.01	3.52	3.59	5.59	4.51	3.07
PGM2L1	2.34	3.58	1.21	2.68	1.4	3.12	0.83
PGM3	5.92	5.17	4.17	4.88	7.77	5.46	4.57
PGM5	5.58	2.24	1.12	1.22	1.51	0.76	1.01
PGP	3.47	3.26	0.63	0.72	0.55	2.7	0.21
PGPEP1	4.6	4.86	2.46	2.81	3.24	4.14	2.6
PGPEP1L	2.9	0.87	0.16	0.23	0.2	0.65	0.03
PGR	4.89	3.01	0.48	0.53	0.77	0.98	0.71
PGRMC1	6.25	3.71	3.79	3.16	5.01	5.28	3.52
PGRMC2	4.52	4.3	4.36	5.39	5.72	5.2	3.28
PGS1	4.72	5.09	2.23	3.31	2.77	4.69	2.42
PHACTR1	5.29	4.81	2.5	4.69	2.01	2.6	2.96
PHACTR2	6.48	4.88	2.85	4.06	4.67	4.42	3.8
PHACTR3	2	0.98	0.44	0.53	0.4	0.12	0.44
PHACTR4	6	5.87	3.78	5.46	4.7	4.66	3.65
PHAX	5.56	6.17	4.11	5.9	6.75	4.82	4.2
PHB	5.29	6.17	5.45	5.49	5.98	6.63	6.25
PHB2	7.33	7.08	7.05	6.47	4.71	7.33	5.9
PHC1	4.73	6.08	2.59	4.67	2.73	4.8	2.78
PHC2	5.28	5.75	4.88	5.29	4.26	5.86	3.99
PHC3	6.57	5.89	5.77	6.81	6.83	7.67	5.11
PHETA1	4.16	1.81	0.64	0.11	0.34	2.49	0.29
PHETA2	2.16	2.19	0.24	0.29	0.16	1.67	0.31
PHEX	1.09	0.52	0.45	1.37	1.11	0.57	0.88
PHF1	7.14	5.46	3	3.8	4.44	5.28	4.43
PHF10	5.32	6.36	4.04	6.09	6.73	5.01	4.69
PHF11	4.07	3.09	2.91	4.24	4.19	5.12	3.24
PHF12	6.5	6.88	4.15	3.75	4.74	5.95	3.31
PHF13	3.44	2.83	1.48	1.59	1.93	2.23	1.58
PHF14	5.89	6.59	4.51	5.98	5.75	5.89	4.23
PHF19	7.06	6.68	3.44	4.07	4.24	6.56	3.24
PHF2	4.76	5.97	2.01	2.89	3.44	4.08	1.95
PHF20	4.81	4.85	3.25	4.63	4.99	4.69	2.97
PHF20L1	5.65	5.9	4.66	5.48	6.07	5.83	4.31
PHF21A	6.15	6.9	3.59	7.01	5.19	5.02	3.87
PHF21B	2.61	4.24	0.11	1.94	0.18	0.42	0
PHF23	5.71	4.56	2.94	2.32	3	4.29	2.44
PHF24	4.03	0.34	0.15	0.04	0.23	1.5	0.03
PHF3	6.61	5.73	3.68	5.35	6.18	5.05	4.7
PHF5A	4.12	5.16	5.08	4.06	3.56	4.76	3.24
PHF6	4.03	4.27	4	6.41	5.9	4.21	3.66
PHF7	2.8	3.72	1.64	1.95	4.56	1.93	1.41
PHF8	4.84	6.72	4.51	7.49	6.95	4.77	4.3
PHGDH	7.49	6.44	5.89	5.39	6.89	6.55	4.83
PHGR1	2.46	1.27	1.76	1.59	0.72	0.37	1.13
PHIP	4.57	4.92	2.99	4.99	5.32	3.79	3.27
PHKA1	2.99	2.31	3.46	2.97	4.86	3.04	3.11
PHKA2	5.02	3.93	3.7	3.7	7.07	4.52	4.62
PHKB	5.92	6.08	5.69	5.52	6.43	5.62	5.24
PHKG1	4.47	2.85	0.69	0.84	0.69	2.55	0.82
PHKG2	5.85	6.2	4.61	5.54	4.92	3.89	3.53
PHLDA1	1.81	1.79	4.45	1.69	0.38	5.45	3.13
PHLDA2	3.43	1.27	3.22	1.74	1.38	6.18	1.81
PHLDA3	5.08	4.58	1.68	0.31	0.46	5.29	0.82
PHLDB1	6.15	5.67	3.89	4.36	2.88	5.11	3.82
PHLDB2	3.88	4.53	4.37	4.2	3.47	5.62	3.21
PHLDB3	5.21	4.56	2.36	1.76	2.32	4.21	1.23
PHLPP1	3.45	5.77	2.03	3.23	2.42	2.51	1.58
PHLPP2	3.5	3.73	2.08	2.64	2.02	2.61	1.89
PHOSPHO1	2.52	1.41	0.03	0.1	0.21	2.21	0.07
PHOSPHO2	2.9	3.34	1.43	3.28	3.05	2.39	1.23
PHOX2A	3.37	1.52	0.2	0	0	0	0
PHOX2B	3.83	0.21	0.32	0.23	1.39	0.29	0
PHPT1	8.15	7.78	4.27	3.71	4.59	7.25	4.44
PHRF1	6.13	5.29	2.77	3.5	3.21	4.97	2.84
PHTF1	4.9	5.23	2.57	4.79	4.31	3.77	2.83
PHTF2	5.06	6.16	3.75	5.69	4.81	4.27	4.03
PHYH	5.29	4.86	5.79	4.55	7.25	4.96	4.59
PHYHD1	4.98	1.79	4.04	1.31	1.05	4.38	1.87
PHYHIP	3.8	1.26	0	0.14	0.5	2.2	0.14
PHYHIPL	2.36	4.3	0.32	2.77	0.12	0.75	0.08
PHYKPL	5.69	5.88	4.04	3.43	4.69	6.59	3.46
PI15	3.69	1.97	0.97	1.82	3.98	1.07	2.17
PI16	3.84	0.7	0.14	1.06	0.51	0.52	1.22
PI3	2.39	0.67	4.79	0.08	0.89	2.86	2.33
PI4K2A	3.51	2.27	1.46	1.19	1.31	2.28	1.8
PI4K2B	4.41	4.56	3.73	4.97	5.94	3.85	3.51
PI4KA	7.3	7.56	5.94	6.29	7.17	6.75	5.58
PI4KB	6.5	5.89	4.47	4.32	4.74	6.68	3.66
PIANP	4.56	1.97	0.19	0.04	0.24	1.69	0.2
PIAS1	6.38	7.8	5.74	7.19	5.77	5.69	4.95
PIAS2	5.61	7.03	3.03	5.14	4.83	3.43	2.9
PIAS3	5.64	5.89	4.75	4.11	4.28	5.36	2.72
PIAS4	7.34	7.33	3.47	4.09	3.98	5.71	2.21
PIBF1	3.82	4.48	2.94	5.13	4.84	5.01	3.52
PICALM	7.21	7.64	8.07	8.85	7.99	8.12	7.65
PICK1	5.48	5.24	4.13	5.17	6.22	5.27	3.93
PID1	3.64	3.42	2.31	0.92	0.29	2.93	1.15
PIDD1	4.43	5.54	1.18	1.55	1.01	3.15	0.61
PIEZO1	5.95	4.85	5.29	3.33	4.34	7.97	4.86
PIEZO2	4.01	2.36	2.36	2.93	1.85	2.83	2.54
PIF1	5.29	4.57	1.53	2.8	1.13	2.84	1.5
PIFO	2.29	2.22	0.88	0.33	3.53	1.61	0.11
PIGA	3.12	3.54	2.89	3.2	4.33	3.48	1.88
PIGB	3.41	4.47	2.93	3.73	2.9	4.22	2.78
PIGBOS1	0.26	0.14	0.54	0.66	0.06	0.15	0.14
PIGC	3.83	4.05	1.58	2.12	2.31	2.97	1.4
PIGF	3.76	3.88	3.05	3.82	4.33	4.08	2.91
PIGG	6.16	4.93	4.22	4.71	5	6.44	3.42
PIGH	5.06	3.75	3.48	3.79	3.85	3.75	2.83
PIGK	4.57	4.08	4.13	5.07	5.21	4.51	4.07
PIGL	5.15	5.5	3.26	3.72	3.19	4.45	3.17
PIGM	3.38	3.62	1.87	2.48	2.24	1.99	1.01
PIGN	3.74	5.02	2.63	4.4	5.63	2.77	3.26
PIGO	5.72	5.2	3.16	3.09	3.26	5.14	2.08
PIGP	4.43	5.72	4.69	5.19	5.45	4.22	3.92
PIGQ	6.16	5.63	2.3	2.88	2.74	5.43	1.68
PIGR	3.74	1	5.3	1.76	12.1	3.22	3.55
PIGS	6.32	5.65	3.75	4.02	4.42	5.9	2.84
PIGT	7.1	8.14	4.84	5.9	5.7	6.73	5.13
PIGU	3.94	4.95	3.84	5.08	4.88	3.68	3.18
PIGV	4.29	2.87	3.66	2.43	2.27	3.96	2.12
PIGW	3.69	5.23	2.69	3.83	4.99	3.17	2.06
PIGX	4.04	4.03	2.98	4.18	4.98	4.45	3.43
PIGY	3.88	2.77	2.47	2.6	2.87	2.94	1.94
PIGZ	3.41	1.99	1.38	0.72	2.09	2.34	1.38
PIH1D1	6.46	6.38	4.34	4.33	4.36	5.03	4.08
PIH1D2	2.28	2.85	0.86	2.36	3.68	1.87	0.84
PIK3AP1	3.38	3.9	4.44	4.08	3.43	4.1	3.73
PIK3C2A	4.51	5.11	3.68	4.83	4.48	4.22	3.42
PIK3C2B	5.44	4.16	2.77	2.2	2.41	5.28	2.68
PIK3C2G	2.32	0.54	2.81	0.01	0.11	1.33	3.78
PIK3C3	6.26	6.97	5.02	6	6	4.44	4.31
PIK3CA	3.84	4.05	3.41	4.52	4.31	5.67	3.74
PIK3CB	3.54	3.51	4.14	4.81	5.78	5.33	3.71
PIK3CD	5.3	3.15	2	2.35	1.23	3.35	2.54
PIK3CG	3.3	2.13	1.51	2.57	1.42	2.6	2.13
PIK3IP1	2.22	2.31	1.37	1.31	0.94	3.21	0.99
PIK3R1	5.47	6.21	5.06	5.53	5.52	4.7	3.81
PIK3R2	6.91	5.54	2.9	4	4.49	5.59	3.52
PIK3R3	3.79	3.86	2.33	3.45	3.26	1.99	1.12
PIK3R4	5.15	5.47	3.88	4.45	4.92	5.24	3.35
PIK3R5	4.05	3.42	2.12	2.21	1.72	3.37	2.44
PIK3R6	2.3	0.86	0.61	0.45	0.5	1.7	0.68
PIKFYVE	4.54	4.41	3.83	4.84	4.9	5.04	3.71
PILRA	3.92	3.09	3.45	3.09	4.36	3.16	4.23
PILRB	7.46	7.85	5.59	6.45	6.94	5.71	5.78
PIM1	4.68	4.71	3.04	1.96	2.05	4.44	3.37
PIM2	4.09	3.77	2.97	3.38	3.08	2.94	3.58
PIM3	4.54	4.57	2.09	1.18	1.7	5.05	1.18
PIMREG	4.43	3.39	1.06	1.76	0.98	3.29	0.75
PIN1	7.01	6.4	2.26	3.05	4.6	5.1	3.54
PIN4	3.89	3.82	4.02	5.71	6.74	3.77	4.42
PINK1	5.76	3.55	3.43	2.02	5.24	4.29	3.91
PINLYP	3.79	3.86	0.67	2.19	0.78	1.9	0.51
PINX1	3.57	4.65	2.05	3.82	4.23	2.82	2.54
PIP	0.69	0.63	0.91	0.14	4.13	0.5	0
PIP4K2A	4.36	4.75	3.8	5.59	4.14	4.61	4.12
PIP4K2B	4.56	4.98	3.12	4.98	5.37	5.52	4.13
PIP4K2C	4.78	5.36	4.58	4.44	5.95	5.58	4.51
PIP4P1	4.46	3.81	2.68	2.57	2.35	3.3	1.9
PIP4P2	4.31	4.79	2.99	3.06	3.99	5.02	3.01
PIP5K1A	7.81	7.62	6.24	6.05	6.17	6.8	5.1
PIP5K1B	3.09	5.37	1.27	2.03	3.15	0.51	2
PIP5K1C	5.43	5.35	3.07	3.42	3.9	4.27	3.03
PIP5KL1	5.35	2.88	0.59	0.29	0.38	4.25	0.2
PIPOX	2.37	3.7	4.12	0.92	1.1	2.13	2.05
PIR	3.75	1.53	3.04	2.59	4.46	2.96	2.74
PIRT	0.81	0.07	0	0	0.04	0	0
PISD	4.89	5.26	2.23	2.66	2.4	4.46	2.51
PITHD1	3.87	3.89	3.06	3.07	4.22	4.06	3.06
PITPNA	5.17	5.79	4.32	5.1	6.74	5.85	5.03
PITPNB	5.43	5.92	5.91	6.95	7.64	6.45	6.18
PITPNC1	3.91	5.03	4.48	4.99	2.29	4.62	2.13
PITPNM1	6.57	7.95	3.83	2.3	3.85	6.3	3.04
PITPNM2	4.96	6.3	1.95	3.38	1.36	4.62	2
PITPNM3	2.83	0.7	0.8	0.14	0.69	2.94	0.55
PITRM1	6.86	7.84	5.13	6.11	5.33	7.06	5.25
PITX1	6	3.65	5.43	0.59	2.49	4.92	2.22
PITX2	4.7	1.29	0.37	0.29	0.64	1	0.69
PITX3	4.27	1.02	0.25	0.12	0.41	0.44	0.01
PIWIL1	1.74	2.12	0.21	0.42	0.52	0.45	0.36
PIWIL2	2.91	0.72	0.41	0.64	1.31	0.45	0.26
PIWIL3	1.97	0.58	0.15	0.03	0.37	0.32	0.01
PIWIL4	3.07	1.77	1.32	1.4	0.41	2.76	1.88
PJA1	5.49	4.21	2.99	3.36	5.17	3.41	3.26
PJA2	5.28	5.95	4.82	4.41	5.5	5.9	3.97
PJVK	3.58	1.79	2.02	2.4	2.25	2.56	0.94
PKD1	8.09	9.88	5.76	7.07	6.1	7.89	5.37
PKD1L1	4.77	2.53	0.52	0.58	0.64	1.74	0.2
PKD1L3	2.32	1.29	0.82	2.29	0.12	0.76	0.42
PKD2	5.52	5.57	4.45	6.03	6.79	4.23	5.32
PKD2L1	2.83	5.16	0.25	2.56	0.23	0.32	0.12
PKD2L2	2.17	0.8	0.2	0.19	0.83	0.69	0.1
PKDCC	5.97	3.44	2.43	2.28	2.42	4.21	4.75
PKDREJ	2.88	1.01	0.32	0.46	1.08	0.79	0.36
